title,house_type,price,size,construction_costs
Dom w lipiennikach,jednorodzinny parterowy,3370,113,206600
Dom w godecjach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,111,206700
Dom w rododendronach 5 (WN),jednorodzinny z poddaszem,3600,85,206900
Dom w rododendronach 4,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,88,208300
Dom w gazaniach,jednorodzinny parterowy,3060,100,208800
Dom pod jarząbem 7,jednorodzinny parterowy,3370,115,209000
Dom w zielistkach 5,jednorodzinny z poddaszem,3370,113,209600
Dom w aurorach 14,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3930,91,210600
Dom w kostrzewach 6,jednorodzinny parterowy,3370,95,211500
Dom pod agawami 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,99,211900
Dom pod miłorzębem 19 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,109,212300
Dom w jeżynach 2 (PD),jednorodzinny z poddaszem,3370,93,212700
Dom w ostróżkach 4,jednorodzinny z poddaszem,3370,112,213700
Dom w cedro,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,91,214300
Dom pod świerkiem 2,jednorodzinny parterowy,3370,111,214600
Dom w lulo,jednorodzinny parterowy,3370,92,215000
Dom w lucernie 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,89,215300
Dom w rododendronach 6 (W),jednorodzinny z poddaszem,3600,114,216100
Dom w borówkach (GN),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,92,217000
Dom w mandarynkach,jednorodzinny z poddaszem,3600,100,217500
Dom w akebiach (W),jednorodzinny parterowy,3370,109,217900
Dom w kostrzewach 4 (A),jednorodzinny parterowy,3370,112,218600
Dom w lilakach 2 (W),jednorodzinny parterowy,3370,113,218700
Dom w malinówkach 24,jednorodzinny z poddaszem,3370,96,219400
Dom pod agawami 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,99,211900
Dom pod miłorzębem 19 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,109,212300
Dom w jeżynach 2 (PD),jednorodzinny z poddaszem,3370,93,212700
Dom w ostróżkach 4,jednorodzinny z poddaszem,3370,112,213700
Dom w cedro,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,91,214300
Dom pod świerkiem 2,jednorodzinny parterowy,3370,111,214600
Dom w lulo,jednorodzinny parterowy,3370,92,215000
Dom w lucernie 8,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,89,215300
Dom w rododendronach 6 (W),jednorodzinny z poddaszem,3600,114,216100
Dom w borówkach (GN),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,92,217000
Dom w mandarynkach,jednorodzinny z poddaszem,3600,100,217500
Dom w akebiach (W),jednorodzinny parterowy,3370,109,217900
Dom w kostrzewach 4 (A),jednorodzinny parterowy,3370,112,218600
Dom w lilakach 2 (W),jednorodzinny parterowy,3370,113,218700
Dom w malinówkach 24,jednorodzinny z poddaszem,3370,96,219400
Dom w rododendronach (N),jednorodzinny z poddaszem,3370,102,219500
Dom w rubellach,jednorodzinny z poddaszem,3600,121,220500
Dom w kostrzewach 11,jednorodzinny parterowy,3370,114,220900
Dom w avenach 2,"jednorodzinny z poddaszem, ze stropem teriva",3600,94,221800
Dom w akebiach 3,"jednorodzinny parterowy, z garażem jednostanowiskowym",3370,96,222100
Dom w krynkach,jednorodzinny z poddaszem,3600,84,222400
Dom w kostrzewach 7,jednorodzinny parterowy,3370,113,223000
Dom w topazach,jednorodzinny z poddaszem,3370,119,223200
Dom w portulankach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,86,223400
Dom w malinówkach 30,jednorodzinny z poddaszem,3600,103,223500
Dom w złociszkach 2,jednorodzinny z poddaszem,3600,121,224200
Dom w borówkach 5,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,92,224300
Dom w jabłonkach 16,jednorodzinny z poddaszem,3600,106,225300
Dom w żurawkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,117,225700
Dom w lucernie 15,jednorodzinny z poddaszem,3600,100,225900
Dom w nerinach (T),"jednorodzinny parterowy, z garażem jednostanowiskowym, ze stropem teriva",3370,86,226200
Dom w rododendronach (N),jednorodzinny z poddaszem,3370,102,219500
Dom w rubellach,jednorodzinny z poddaszem,3600,121,220500
Dom w kostrzewach 11,jednorodzinny parterowy,3370,114,220900
Dom w avenach 2,"jednorodzinny z poddaszem, ze stropem teriva",3600,94,221800
Dom w akebiach 3,"jednorodzinny parterowy, z garażem jednostanowiskowym",3370,96,222100
Dom w krynkach,jednorodzinny z poddaszem,3600,84,222400
Dom w kostrzewach 7,jednorodzinny parterowy,3370,113,223000
Dom w topazach,jednorodzinny z poddaszem,3370,119,223200
Dom w portulankach,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3370,86,223400
Dom w malinówkach 30,jednorodzinny z poddaszem,3600,103,223500
Dom w złociszkach 2,jednorodzinny z poddaszem,3600,121,224200
Dom w borówkach 5,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,92,224300
Dom w jabłonkach 16,jednorodzinny z poddaszem,3600,106,225300
Dom w żurawkach 3,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,117,225700
Dom w lucernie 15,jednorodzinny z poddaszem,3600,100,225900
Dom w nerinach (T),"jednorodzinny parterowy, z garażem jednostanowiskowym, ze stropem teriva",3370,86,226200
Dom w jabłonkach 5,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,114,226500
Dom w dmuchawcach (N),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,104,227400
Dom w zielistkach 3 (G),"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,115,228600
Dom w zielistkach 14,jednorodzinny z poddaszem,3600,105,228700
Dom w cieszyniankach 3,jednorodzinny parterowy,3370,111,229000
Dom w lucernie 2,"jednorodzinny z poddaszem, z garażem jednostanowiskowym",3600,110,229200
Dom w kolendrze,jednorodzinny z poddaszem,3600,117,229700
